2,t,Abacaxi
3,t,Abóbora
4,t,Abobrinha
5,t,Açaí
6,t,Acelga
7,t,Acerola
8,t,Açafrão da terra (cúrcuma)
9,t,Agrião
10,t,Alcachofra
11,t,Alcaparra
12,t,Alecrim
13,t,Alface
14,t,Alho
15,t,Alho-poró
16,t,Almeirão
17,t,Ameixa
18,t,Amendoim
19,t,Amêndoa
20,t,Amora
21,t,Anchova
22,t,Anis-estrelado
23,t,Annatto (colorau)
24,t,Arroz
25,t,Atum
26,t,Aveia
27,t,Avelã
28,t,Bacalhau
29,t,Banana
30,t,Batata
31,t,Batata-doce
32,t,Berinjela
33,t,Beterraba
34,t,Blueberry (mirtilo)
35,t,Brócolis
36,t,Cabelo-de-anjo (macarrão fino)
37,t,Cacau
38,t,"Cachorro-quente (salsicha, pão)"
39,t,Cajá
40,t,Caju
41,t,Calabresa
42,t,Camarão
43,t,Camomila
44,t,Canjica (milho branco)
45,t,Canela
46,t,Canola (óleo)
47,t,Carambola
48,t,Cará
49,t,Caranguejo
50,t,Carne de boi (várias partes)
51,t,Carne de porco (várias partes)
52,t,Carne moída
53,t,Caruru
54,t,Castanha
55,t,Castanha de caju
56,t,Castanha-do-Brasil (castanha-do-pará)
57,t,Castanha portuguesa
58,t,Cebola
59,t,Cebolinha
60,t,Cenoura
61,t,Cereja
62,t,Cereja-do-rio-grande
63,t,Cereja-doce
64,t,Cerveja
65,t,Cevada
66,t,Chá (diversos tipos)
67,t,Chicória
68,t,Chuchu
69,t,Cidra
70,t,Cidreira
71,t,Cogumelo (diversas espécies)
72,t,Coco
73,t,Cogumelo paris
74,t,Cogumelo portobello
75,t,Coentro
76,t,Cominho
77,t,Couve
78,t,Couve-de-bruxelas
79,t,Couve-flor
80,t,Cravo-da-índia
81,t,Creme de leite
82,t,Damasco
83,t,Dill
84,t,Endívia
85,t,Erva-doce
86,t,Ervilha
87,t,Espargos (asparagus)
88,t,Espinafre
89,t,Estragão
90,t,Fava
91,t,Figo
92,t,Flor de sal
93,t,Framboesa
94,t,Frango
95,t,Funcho
96,t,Gengibre
97,t,Goiaba
98,t,Grão-de-bico
99,t,Groselha
100,t,Guaraná (fruto)
101,t,Hortelã
102,t,Iogurte
103,t,Jaca
104,t,Jabuticaba
105,t,Jaca
106,t,Jiló
107,t,Kiwi
108,t,Laranja
109,t,Leite
110,t,Lichia
111,t,Limão
112,t,Linguiça
113,t,Lentilha
114,t,Louro
115,t,Maçã
116,t,Macadâmia
117,t,Macarrão (diversos tipos)
118,t,Manteiga
119,t,Maracujá
120,t,Manga
121,t,Manjericão
122,t,Manteiga de amendoim
123,t,Marmelo
124,t,Mel
125,t,Melancia
126,t,Melão
127,t,Mexilhão
128,t,Milho
129,t,Mirtilo (blueberry)
130,t,Morango
131,t,Mostarda
132,t,Nabo
133,t,Noz-moscada
134,t,Nozes
135,t,Ostra
136,t,Ovo
137,t,Páprica
138,t,Pão
139,t,Pêra
140,t,Pêssego
141,t,Pimenta (diversos tipos)
142,t,Pimentão (diversas cores)
143,t,Pinhão
144,t,Pistache
145,t,Polvo
146,t,Queijo (diversos tipos)
147,t,Quiabo
148,t,Quinoa
149,t,Rabanete
150,t,Requeijão
151,t,Romã
152,t,Rúcula
153,t,Salmão
154,t,Salsa (salsinha)
155,t,Sálvia
156,t,Salsão (aipo)
157,t,Salsicha
158,t,Sementes de chia
159,t,Sementes de girassol
160,t,Sementes de gergelim
161,t,Sementes de papoula
162,t,Siri
163,t,Soja
164,t,Sorvete
165,t,Soro de leite
166,t,Sorgo
167,t,Tâmara
168,t,Tamarindo
169,t,Tangerina
170,t,Taperebá
171,t,Tapioca
172,t,Tofu
173,t,Tomate
174,t,Tomilho
175,t,Trigo
176,t,Truta
177,t,Uva
178,t,Uvaia
179,t,Uva-passa
180,t,Vagem
181,t,Vodka
182,t,Waffle
183,t,Wasabi
184,t,Xarope de bordo (maple)
185,t,Yuzu
186,t,Zimbro
1,t,Abacate
187,t,Açúcar
188,t,Farinha de trigo
189,t,Leite Condensado
190,t,Peito de Frango
191,t,Curry em pó
192,t,Leite de coco
193,t,Óleo de soja
194,t,Sal
195,t,Espaguete
196,t,Bacon
197,t,Azeite de oliva
198,t,Caldo de galinha
199,t,Vinho branco
